City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
517,Sarangpur,IN,74.8,clear sky,23.57,76.47,Janral Outo Electric
519,Ugoofaaru,MV,82.13,overcast clouds,5.67,73.0,Ungoofaaru Inn
522,Antsohihy,MG,72.37,clear sky,-14.88,47.99,Hotel de Ville
523,Nishihara,JP,78.8,few clouds,26.18,127.76,Minshuku Agaihama
525,Birin,NP,77.0,broken clouds,26.89,88.07,Hotel nigam
527,Port Blair,IN,81.07,light rain,11.67,92.75,Fortune Resort Bay Island
530,Iquitos,PE,91.4,broken clouds,-3.75,-73.25,Cortez Malaga Techy Caroly
534,Abnub,EG,86.0,clear sky,27.27,31.15,مسجد الخطبة
537,Patnanungan,PH,82.08,overcast clouds,14.78,122.18,Laura Visah Transient House
538,Key Largo,US,84.0,overcast clouds,25.09,-80.45,Bayside Inn Key Largo
539,Camacha,PT,71.6,scattered clouds,33.08,-16.33,Hotel Porto Santo & Spa
544,Karratha,AU,69.44,few clouds,-20.74,116.85,ibis Styles Karratha
545,Sapele,NG,75.67,overcast clouds,5.89,5.68,Movig Hotel & Suites
553,Esmeraldas,BR,95.0,clear sky,-19.76,-44.31,Hotel Fazenda Lagoa Azul
557,Bang Saphan,TH,77.14,overcast clouds,11.21,99.51,Ladawan Boutique Hotel
558,Chake Chake,TZ,76.69,clear sky,-5.25,39.77,Hotel Archipelago
559,Sur,OM,83.1,clear sky,22.57,59.53,Sur Plaza Hotel
560,Waingapu,ID,77.14,clear sky,-9.66,120.26,Pondok Wisata Elim
561,Dafeng,CN,76.51,light rain,23.45,108.59,Shenglong Hotel
566,Lazaro Cardenas,MX,87.58,clear sky,17.96,-102.2,Collection O Hotel Quinta Antigua
571,Dogbo,BJ,76.41,few clouds,6.82,1.78,Maison des visiteurs / auberge chez ESI ONG/ pro dogbo e.V.
572,Quzhou,CN,69.08,scattered clouds,28.96,118.87,Quzhou Jiujiu Business Hotel
573,Lardos,GR,73.4,clear sky,36.09,28.02,Lindos Princess Beach Hotel
574,Creel,MX,69.03,clear sky,27.75,-107.63,The Lodge at Creel Hotel & SPA
576,Jacqueville,CI,80.6,few clouds,5.21,-4.41,Hotel Le Martin Pecheur
577,Puerto Baquerizo Moreno,EC,73.4,scattered clouds,-0.9,-89.6,Hotel los Algarrobos
581,Cam Ranh,VN,82.4,few clouds,11.92,109.16,OYO 598 Peony Hotel
583,Vaitape,PF,79.14,clear sky,-16.52,-151.75,Conrad Bora Bora Nui
584,Bhairab Bazar,BD,82.4,haze,24.07,90.97,RJ Tower Hotel And Resort
587,Kudahuvadhoo,MV,82.36,overcast clouds,2.67,72.89,Kudahuvadhoo Retreat
590,Sassandra,CI,76.5,overcast clouds,4.95,-6.08,la terrasse
592,Presidente Olegario,BR,96.01,broken clouds,-18.42,-46.42,Cruzeiro Hotel
597,Phonhong,LA,75.92,light rain,18.5,102.42,Napakuang Resort
600,Ano Lekhonia,GR,71.6,few clouds,39.33,23.05,Anovolios Boutique Hotel
602,Tual,ID,79.84,broken clouds,-5.67,132.75,Grand Vilia Hotel
603,Pakxan,LA,75.43,overcast clouds,18.38,103.66,Kong Kham Pheng Guesthouse
607,Yangjiang,CN,76.96,light rain,21.85,111.97,HUALUXE Yangjiang City Center
608,Mahibadhoo,MV,82.49,scattered clouds,3.78,72.97,Omadhoo Inn
609,Basud,PH,78.46,overcast clouds,14.06,122.96,Nathaniel Hotel
611,Champerico,GT,87.8,broken clouds,14.3,-91.92,"Hotel y restaurante ""El Diamante"""
613,Key West,US,82.4,broken clouds,24.56,-81.78,Fairfield Inn & Suites by Marriott Key West
616,Sechura,PE,76.71,few clouds,-5.56,-80.82,Hospedaje Costa Bella
617,Kapra,IN,80.01,scattered clouds,17.48,78.56,Hotel Swagath Grand - Dr AS Rao Nagar
622,Lucapa,AO,73.08,clear sky,-8.42,20.74,Residência Ulisses Dos Santos
624,Porto Belo,BR,82.99,scattered clouds,-27.16,-48.55,Costa Verde Beach Hotel
625,Ranong,TH,80.02,moderate rain,9.97,98.63,Tinidee Hotel@Ranong
626,Malakal,SS,76.53,light rain,9.53,31.66,Nile Palace Hotel
628,Howard Springs,AU,78.8,overcast clouds,-12.5,131.05,buffalo beach hostel
632,Amahai,ID,78.03,overcast clouds,-3.33,128.92,Peternakan Ayam Bangkok Manisso
633,Tamandare,BR,79.21,overcast clouds,-8.76,-35.1,Pousada 100 Passos
635,Menongue,AO,74.5,overcast clouds,-14.66,17.69,Ritz Lauca
640,Khairagarh,IN,75.2,clear sky,26.95,77.82,Saleem Bhai Fruit Co.
642,Puri,IN,78.8,thunderstorm,19.8,85.85,OYO 1577 Hotel Shree Hari Grand
646,Atambua,ID,70.21,clear sky,-9.11,124.89,Pondok Pesantren Al Muhajirin Atambua
647,Mombasa,KE,78.8,few clouds,-4.05,39.66,New Palm Tree Hotel
652,Tessaoua,NE,91.83,overcast clouds,13.76,7.99,Benin Dan Kaabou Heberge
656,Bubaque,GW,81.7,clear sky,11.28,-15.83,Casa Dora - Mango Lodge
658,Port Lincoln,AU,70.5,clear sky,-34.73,135.87,Port Lincoln Hotel
659,Tarata,BO,82.4,scattered clouds,-17.62,-66.02,TARA TARA Centro Alternativo Hosting
664,Rodrigues Alves,BR,94.19,overcast clouds,-7.74,-72.65,Pousada Aconchego
667,Bardiyah,LY,75.4,clear sky,31.76,25.09,بورتو بردية
668,Lonar,IN,73.54,overcast clouds,19.98,76.53,Hotel Jai Bhawani
670,Bhatkal,IN,77.95,overcast clouds,13.97,74.57,SPOT ON 61793 Chaya Residency SPOT
673,Rosarito,MX,96.8,clear sky,32.33,-117.03,Hotel Festival Plaza Rosarito
675,Mayabon,PH,77.0,scattered clouds,9.1,123.17,Kav's Beach Resort
676,Kuching,MY,75.2,light rain,1.55,110.33,Hilton Kuching
677,Algiers,DZ,80.6,broken clouds,36.75,3.04,Sofitel Algiers Hamma Garden
678,Depalpur,IN,78.8,haze,22.85,75.55,Nakshatra City
680,Bonthe,SL,79.23,overcast clouds,7.53,-12.51,Bonthe Holiday Village
682,Gopalpur,IN,80.4,overcast clouds,19.27,84.92,Swosti Palm Resort
684,Clearlake,US,73.4,smoke,38.96,-122.63,Americas Best Value Inn & Suites Clearlake Wine Country
685,Madang,PG,73.72,overcast clouds,-5.22,145.8,Comfort Inn Hotel
686,Bhindar,IN,76.78,clear sky,24.5,74.18,Hotel Rajmahal Bhindar
688,Belmonte,BR,80.6,few clouds,-15.86,-38.88,Pousada Monte Carmelo O Pão
691,Ixtapa,MX,93.2,clear sky,20.7,-105.2,Container Inn Puerto Vallarta
693,Faya,SA,71.6,clear sky,18.39,42.45,مقبرة ال مجمل
698,Abu Dhabi,AE,89.6,clear sky,24.47,54.37,Beach Rotana
699,Masyaf,SY,73.4,clear sky,35.07,36.34,Hotel restaurants and tourist Misyaf
703,Lorengau,PG,80.13,overcast clouds,-2.02,147.27,Lorengau Harbourside Hotel
704,Riyadh,SA,89.6,clear sky,24.69,46.72,InterContinental Riyadh
706,Saint-Joseph,RE,70.0,clear sky,-21.37,55.62,"""Plantation Bed and Breakfast"
707,Zhuhai,CN,82.4,light rain,22.28,113.57,珠海粤财假日酒店
710,Biloli,IN,75.49,overcast clouds,18.77,77.73,Sahara Multiservisess Biloli
